Tile Name,Predicted Class,Slide Name,Tumor Cells (%),Tumor Cells Count,Mitosis (%),Mitosis Count,Karyorrhexis (%),Karyorrhexis Count,Stroma (%),Stroma Count,Final Classification
./tiles_output\NBL-11\tile_3797_44687.jpg,Karyorrhexis,NBL-11.svs,27.16,178,20.62,135,29.69,195,22.54,148,Tumor Positive
./tiles_output\NBL-11\tile_4053_44431.jpg,Karyorrhexis,NBL-11.svs,28.35,186,21.16,139,34.21,224,16.28,107,Tumor Positive
./tiles_output\NBL-11\tile_4309_44943.jpg,Tumor Cells,NBL-11.svs,31.16,204,16.88,111,30.16,198,21.8,143,Tumor Positive
./tiles_output\NBL-11\tile_4565_45455.jpg,Karyorrhexis,NBL-11.svs,33.88,222,16.35,107,34.85,228,14.91,98,Tumor Positive
./tiles_output\NBL-11\tile_4821_44687.jpg,Tumor Cells,NBL-11.svs,29.8,195,26.38,173,29.05,190,14.77,97,Tumor Positive
./tiles_output\NBL-11\tile_4821_45199.jpg,Tumor Cells,NBL-11.svs,33.92,222,17.59,115,31.67,208,16.82,110,Tumor Positive
./tiles_output\NBL-11\tile_4821_45455.jpg,Karyorrhexis,NBL-11.svs,29.57,194,23.86,156,34.81,228,11.76,77,Tumor Positive
./tiles_output\NBL-11\tile_5077_43151.jpg,Karyorrhexis,NBL-11.svs,31.62,207,15.31,100,32.21,211,20.86,137,Tumor Positive
./tiles_output\NBL-11\tile_5077_43663.jpg,Karyorrhexis,NBL-11.svs,23.78,156,19.75,129,30.07,197,26.41,173,Tumor Positive
./tiles_output\NBL-11\tile_5333_41871.jpg,Karyorrhexis,NBL-11.svs,23.12,152,18.13,119,39.11,256,19.64,129,Tumor Positive
./tiles_output\NBL-11\tile_5333_42639.jpg,Karyorrhexis,NBL-11.svs,28.07,184,17.21,113,31.36,206,23.36,153,Tumor Positive
./tiles_output\NBL-11\tile_5333_43919.jpg,Karyorrhexis,NBL-11.svs,28.23,185,15.91,104,31.01,203,24.85,163,Tumor Positive
./tiles_output\NBL-11\tile_5333_44943.jpg,Tumor Cells,NBL-11.svs,37.23,244,11.87,78,31.88,209,19.03,125,Tumor Positive
./tiles_output\NBL-11\tile_5589_43407.jpg,Tumor Cells,NBL-11.svs,33.6,220,13.26,87,30.41,199,22.73,149,Tumor Positive
./tiles_output\NBL-11\tile_5589_43919.jpg,Karyorrhexis,NBL-11.svs,29.29,192,14.78,97,32.56,213,23.37,153,Tumor Positive
./tiles_output\NBL-11\tile_5589_44175.jpg,Tumor Cells,NBL-11.svs,29.96,196,18.79,123,29.55,194,21.7,142,Tumor Positive
./tiles_output\NBL-11\tile_5845_44431.jpg,Karyorrhexis,NBL-11.svs,30.46,200,11.7,77,35.22,231,22.63,148,Tumor Positive
./tiles_output\NBL-11\tile_6101_41103.jpg,Karyorrhexis,NBL-11.svs,25.42,167,23.08,151,27.84,182,23.67,155,Tumor Positive
./tiles_output\NBL-11\tile_6101_42127.jpg,Tumor Cells,NBL-11.svs,40.51,265,18.25,120,23.73,156,17.51,115,Tumor Positive
./tiles_output\NBL-11\tile_6101_42383.jpg,Tumor Cells,NBL-11.svs,37.66,247,13.42,88,27.65,181,21.26,139,Tumor Positive
./tiles_output\NBL-11\tile_6101_42639.jpg,Karyorrhexis,NBL-11.svs,27.88,183,13.08,86,31.86,209,27.18,178,Tumor Positive
